Frame,X,Y,Z
854,-2.91,4.03,-0.05
855,-2.35,4.26,-0.07
856,-3.04,4.5,-0.09
857,-3.16,4.28,-0.09
858,-2.29,4.44,-0.09
859,-2.71,4.12,-0.09
860,-3.0,4.41,-0.12
861,-3.45,4.03,-0.09
862,-2.93,4.3,-0.1
863,-3.7,4.23,-0.09
864,-3.56,4.22,-0.1
865,-3.55,4.25,-0.09
866,-3.02,4.41,-0.09
867,-3.29,4.25,-0.09
868,-3.13,4.11,-0.09
869,-2.7,4.1,-0.08
870,-2.9,4.13,-0.09
871,-2.84,4.14,-0.09
872,-3.01,4.1,-0.11
873,-2.56,4.05,-0.09
874,-3.16,4.12,-0.09
875,-2.37,4.25,-0.08
876,-2.81,4.04,-0.11
877,-2.39,3.95,-0.09
878,-2.36,3.84,-0.09
879,-1.83,3.78,-0.09
880,-3.09,3.86,-0.09
881,-2.14,3.86,-0.09
882,-2.64,3.72,-0.09
883,-1.6,3.77,-0.09
884,-2.64,3.69,-0.12
885,-1.78,3.64,-0.11
886,-1.85,3.42,-0.11
887,-2.24,3.41,-0.1
888,-1.56,3.5,-0.11
889,-2.56,3.68,-0.11
890,-1.85,4.04,-0.1
891,-2.01,3.93,-0.11
892,-2.13,3.85,-0.12
893,-2.84,3.77,-0.1
894,-3.1,3.54,-0.08
895,-2.96,3.63,-0.06
896,-2.82,3.96,-0.05
897,-2.43,3.39,-0.12
